date,continent,new_cases_avg_per_pop,new_deaths_avg_per_pop
2020-04-28,Asia,2.6010986337303517,0.07507958279437268
2020-04-28,Europe,35.25792991493803,3.653029495303008
2020-04-28,Africa,1.0613575497565386,0.0345766565125278
2020-04-28,North America,53.56642172105571,3.8553672672418493
2020-04-28,South America,21.46970384620132,1.586081037918948
2020-04-28,Oceania,NA,NA
2020-04-29,Asia,2.6243419443743097,0.07572523031226042
2020-04-29,Europe,34.558652555184835,3.5540571961544867
2020-04-29,Africa,1.1231164573225898,0.036034708293176565
2020-04-29,North America,52.85212564779,3.8546442955077747
2020-04-29,South America,23.205899652341735,1.7121642752628576
2020-04-29,Oceania,NA,NA
2020-04-30,Asia,2.628062103882139,0.075755975432159825
2020-04-30,Europe,33.46710229438336,3.4059794101207386
2020-04-30,Africa,1.1760229076489876,0.0349932427355703
2020-04-30,North America,52.316885573996764,3.8069281610588503
2020-04-30,South America,24.870330064902593,1.7631901284960325
2020-04-30,Oceania,NA,NA
2020-05-01,Asia,2.6393455628852247,0.07397275847799373
2020-05-01,Europe,31.9983153087504,3.133615256117789
2020-05-01,Africa,1.1799804767678914,0.03801349285262846
2020-05-01,North America,53.14251929430997,3.740173770945962
2020-05-01,South America,22.974143518947187,1.8784097970870728
2020-05-01,Oceania,NA,NA
2020-05-02,Asia,2.6437113699109416,0.07501809255457385
2020-05-02,Europe,31.46976516502839,3.0293136793228093
2020-05-02,Africa,1.283398006638193,0.0402005705236016
2020-05-02,North America,52.29760632775477,3.7339080159173155
2020-05-02,South America,23.135121855921525,2.0219405842461975
2020-05-02,Oceania,NA,NA
2020-05-03,Asia,2.66904534870806,0.07437244503668614
2020-05-03,Europe,31.26401698160618,2.9124502337897478
2020-05-03,Africa,1.290063386206873,0.03884666529871346
2020-05-03,North America,51.891296213204846,3.6929396176530878
2020-05-03,South America,24.84399414065321,2.150328214961928
2020-05-03,Oceania,NA,NA
2020-05-04,Asia,2.7616496498450993,0.07723174118733177
2020-05-04,Europe,30.771249130653256,2.8014870599366946
2020-05-04,Africa,1.4262870811417716,0.03947154463327722
2020-05-04,North America,51.784055405983786,3.67028650331875
2020-05-04,South America,26.537394069888386,2.1740305467863705
2020-05-04,Oceania,NA,NA
2020-05-05,Asia,2.851763596270286,0.07775440822562184
2020-05-05,Europe,30.408667919349536,2.6829106323029857
2020-05-05,Africa,1.4709659535630801,0.03978398430055909
2020-05-05,North America,51.72212082743139,3.6835409851101173
2020-05-05,South America,27.384752432612206,2.1727137505739016
2020-05-05,Oceania,NA,NA
2020-05-06,Asia,2.9440911913282313,0.07756993750622534
2020-05-06,Europe,30.618793723695628,2.585651315255112
2020-05-06,Africa,1.5275175333411,0.04332496719642037
2020-05-06,North America,51.265202691496235,3.657514002683432
2020-05-06,South America,29.307933300923224,2.2978093907584594
2020-05-06,Oceania,NA,NA
2020-05-07,Asia,3.029039957610316,0.07806185942461599
2020-05-07,Europe,30.989939845502587,2.4918179624085335
2020-05-07,Africa,1.5836525268960773,0.04551204486739352
2020-05-07,North America,50.87407498336188,3.610279849390558
2020-05-07,South America,30.234299436395187,2.386034736993884
2020-05-07,Oceania,NA,NA
2020-05-08,Asia,3.1343112481459148,0.07818483990421365
2020-05-08,Europe,31.00687933516454,2.513325404338885
2020-05-08,Africa,1.7815309828412667,0.048115708761409165
2020-05-08,North America,48.97506922852591,3.5779871119352253
2020-05-08,South America,31.994855972466283,2.505863192328566
2020-05-08,Oceania,NA,NA
2020-05-09,Asia,3.226392882244664,0.07655534854954464
2020-05-09,Europe,30.740034790152567,2.311954841840548
2020-05-09,Africa,1.8462059939686153,0.04790741564988791
2020-05-09,North America,48.479592600106784,3.529307015174202
